TxX,TxY,TxV,RxX,RxY,RxV
124.107381,-46.2965885,0.165657841,-336.1899901,-1.68305612,1.92897618
124.1066311,-46.27844377,0.197158198,-335.9407532,-1.570862931,2.080583791
124.1056884,-46.257068,0.230401946,-335.6734271,-1.449298736,2.232822481
124.1044957,-46.23229643,0.265227379,-335.3873242,-1.319019712,2.384660684
124.1029785,-46.20397818,0.301537692,-335.0816895,-1.180922491,2.53515017
124.1010403,-46.1719697,0.339311161,-334.7557059,-1.036142876,2.683503536
124.0985553,-46.13612862,0.378590408,-334.4085085,-0.886043349,2.82912597
124.0953602,-46.09630955,0.41944132,-334.0392128,-0.732187314,2.971672545
124.0912471,-46.05236254,0.461954553,-333.6469486,-0.576297713,3.111103664
124.0859558,-46.00413414,0.506214244,-333.2308932,-0.420209642,3.247674971
124.0791641,-45.9514722,0.552257092,-332.790297,-0.265822777,3.381938281
124.0704813,-45.89423147,0.600104616,-332.3245011,-0.115051597,3.514734901
124.0594434,-45.83227825,0.649767193,-331.832948,0.030224016,3.647088044
124.0455132,-45.76549739,0.701205237,-331.3151958,0.168206516,3.780066289
124.0280843,-45.6937994,0.754368904,-330.7709308,0.297229916,3.914694585
124.0064872,-45.6171245,0.809231287,-330.1999751,0.415810001,4.051873241
123.9799963,-45.53544337,0.865811549,-329.6022841,0.522685864,4.192278221
123.9478363,-45.44875628,0.924191268,-328.9779365,0.616847551,4.336315546
123.9091837,-45.35709638,0.984428394,-328.3271181,0.697555084,4.484103547
123.8631697,-45.26053865,1.046526353,-327.6501053,0.764348927,4.635457058
123.8088811,-45.15920971,1.110466097,-326.9472454,0.817050476,4.789951456
123.7453585,-45.05329904,1.176186959,-326.2189316,0.855749719,4.947004761
123.6715975,-44.94307282,1.243549838,-325.4655782,0.880779102,5.105941465
123.586564,-44.82888813,1.312314295,-324.6876,0.892680396,5.266058326
123.4892209,-44.71120595,1.382142957,-323.8853939,0.892166536,5.426702926
123.3785549,-44.59060212,1.452618001,-323.0593236,0.880080696,5.587333963
123.2536029,-44.46777211,1.523304745,-322.2097081,0.857356549,5.747520588
123.1134754,-44.34352551,1.593874802,-321.3368196,0.824979186,5.906928793
122.9573735,-44.2187701,1.664147254,-320.4408841,0.783948577,6.065342729
122.784608,-44.09448719,1.734101447,-319.5220828,0.735248066,6.222657962
122.5946145,-43.97170176,1.803900888,-318.5805585,0.679816086,6.378828496
122.3869537,-43.85145094,1.873911657,-317.6164255,0.618523451,6.533843825
122.1613005,-43.73475268,1.944682681,-316.6297801,0.552160626,6.687707182
121.9174319,-43.6225745,2.01686296,-315.6207111,0.481431825,6.840410094
121.6552217,-43.51579897,2.091121197,-314.5893109,0.406953635,6.991912142
121.3746358,-43.41518787,2.168076655,-313.5356865,0.329258859,7.142122427
121.0757231,-43.32134786,2.248249749,-312.4599708,0.248803047,7.29088974
120.7586007,-43.23470142,2.332008102,-311.3623327,0.165971012,7.438006472
120.4234329,-43.15547275,2.419536006,-310.2429845,0.081083579,7.583229562
120.0704071,-43.08368604,2.510844101,-309.1021858,-0.005595137,7.726292516
119.6997155,-43.01916672,2.605771071,-307.9402471,-0.093852481,7.86690885
119.3115441,-42.96154904,2.704000261,-306.757531,-0.18352477,8.004781818
118.9060654,-42.91029241,2.80511186,-305.5544523,-0.274495325,8.139627902
118.4834354,-42.86469934,2.908614944,-304.3314752,-0.366689646,8.271174157
118.0437963,-42.82393129,3.01400303,-303.0891103,-0.460068191,8.399158077
117.5872758,-42.78702337,3.120858083,-301.82791,-0.554619042,8.523357519
117.1139829,-42.75290074,3.228877762,-300.5484589,-0.650350547,8.643608069
116.6240043,-42.72040218,3.337900853,-299.2513639,-0.747283961,8.759812362
116.1174025,-42.68831055,3.447878212,-297.9372416,-0.845446461,8.871952775
115.5942195,-42.65538396,3.558848663,-296.606706,-0.94486476,8.980082898
115.0544787,-42.62038687,3.670959805,-295.2603572,-1.045560535,9.084320742
114.4981847,-42.58212083,3.784440725,-293.8987723,-1.147547965,9.184838269
113.9253227,-42.53945062,3.899566898,-292.5224978,-1.250831886,9.281850143
113.3358643,-42.49132026,4.016560566,-291.1320434,-1.355405924,9.375601945
112.7297829,-42.43676261,4.13551451,-289.7278791,-1.461252362,9.466352957
112.1070684,-42.37490981,4.256414278,-288.3104329,-1.568344824,9.554376307
111.4677358,-42.30500453,4.379153328,-286.88009,-1.676648695,9.639949969
110.8118308,-42.22640767,4.503505258,-285.4371908,-1.786120789,9.72336933
110.1394386,-42.13860429,4.629106585,-283.9820304,-1.896712706,9.804926687
109.4506899,-42.04121161,4.755476636,-282.514864,-2.008373282,9.884851235
108.7457629,-41.93398243,4.882050734,-281.0359166,-2.121050226,9.963308742
108.0248847,-41.81680087,5.00819943,-279.5453909,-2.234692193,10.0404323
107.2883323,-41.68967517,5.133246229,-278.0434711,-2.349248439,10.11633521
106.5364333,-41.55272788,5.256487756,-276.5303271,-2.46466778,10.19109205
105.769566,-41.40618421,5.37722474,-275.0061197,-2.580897377,10.26474348
104.9881595,-41.25035987,5.494762162,-273.4710051,-2.697882718,10.33730995
104.1926952,-41.08564168,5.608451232,-271.9251398,-2.815569643,10.40876451
103.3837083,-40.91245909,5.717737549,-270.3686882,-2.933906238,10.47903376
102.5617868,-40.73125169,5.822202212,-268.8018294,-3.052844217,10.54800839
101.7275629,-40.54243594,5.921642545,-267.224762,-3.172340294,10.61554514
100.8816958,-40.34637785,6.016087835,-265.6377081,-3.292358021,10.68149477
100.0248501,-40.14337433,6.105782508,-264.0409143,-3.41286878,10.74570091
99.15767792,-39.93363767,6.191127068,-262.4346555,-3.533851965,10.80796011
98.28081031,-39.71728306,6.272618848,-260.8192409,-3.655295488,10.86804015
97.39484935,-39.49432455,6.350827446,-259.1950159,-3.777195609,10.92571603
96.5003635,-39.26467876,6.426333907,-257.5623598,-3.899554379,10.98077108
95.5978887,-39.02817043,6.499698155,-255.9216869,-4.022375923,11.03296887
94.68792794,-38.7845408,6.571494392,-254.2734491,-4.145663135,11.08204175
93.77094751,-38.53346102,6.642273726,-252.6181406,-4.269414247,11.12768882
92.84737827,-38.27454922,6.71250775,-250.9563037,-4.393620503,11.16955487
91.91761864,-38.00738885,6.782602283,-249.288536,-4.518264639,11.20724684
90.98203874,-37.73154767,6.852854456,-247.6154954,-4.643320083,11.24033693
90.04098326,-37.44659955,6.923472074,-245.937902,-4.768752305,11.2684097
89.09476649,-37.15214573,6.994634304,-244.2565325,-4.894518991,11.29111536
88.1436633,-36.84783049,7.066500231,-242.5722101,-5.020569611,11.3081678
87.18790048,-36.53335521,7.139192648,-240.8857937,-5.146845014,11.31936167
86.22764989,-36.20849273,7.212766449,-239.1981641,-5.27327838,11.32459657
85.26302095,-35.87310225,7.287226829,-237.5102058,-5.39979677,11.32390704
84.29405038,-35.52714331,7.362530573,-235.8227866,-5.5263209,11.31746888
83.32069311,-35.17068594,7.438593862,-234.1367371,-5.652767632,11.30558878
82.34281359,-34.80391832,7.515298129,-232.4528335,-5.779053388,11.28867973
81.36018203,-34.42715141,7.59245668,-230.7717849,-5.905096318,11.26722147
80.37247678,-34.04082052,7.669818765,-229.0942254,-6.030819469,11.2417397
79.37928821,-33.64548666,7.74707223,-227.4207083,-6.156153702,11.2127942
78.38012752,-33.24183538,7.823829769,-225.7516991,-6.281034745,11.18100229
77.37444272,-32.83067202,7.899629147,-224.087567,-6.405395811,11.14701922
76.36163954,-32.41291367,7.973943935,-222.4285828,-6.529166156,11.1114841
75.34110332,-31.98957932,8.046212729,-220.7749235,-6.65227515,11.07500153
74.31222115,-31.56177894,8.115845987,-219.1266791,-6.774656614,11.03812731
73.2744043,-31.13070166,8.182246832,-217.4838622,-6.896253967,11.00135532
72.22711021,-30.69760083,8.244841242,-215.8464177,-7.017028034,10.96512369
71.16986615,-30.26377111,8.303117657,-214.2142311,-7.13696405,10.92983727
70.10228762,-29.83051981,8.356703114,-212.5871337,-7.256074805,10.89586932
69.02408489,-29.39914165,8.405372387,-210.9649105,-7.374403434,10.86352237
67.93505834,-28.97090101,8.449063766,-209.3473132,-7.492026339,10.83300849
66.8350886,-28.54701341,8.487905991,-207.7340713,-7.609055187,10.80448702
65.72412547,-28.12862321,8.522216262,-206.1248971,-7.72563325,10.77808798
64.60217217,-27.71678383,8.552502916,-204.5194928,-7.841923721,10.75386613
63.4692621,-27.31244971,8.579414463,-202.9175639,-7.958100638,10.73174375
62.32543197,-26.91648006,8.603702222,-201.3188335,-8.074345457,10.71158252
61.17070015,-26.52964323,8.626188641,-199.7230425,-8.190838134,10.6932899
60.00505252,-26.15262108,8.647711032,-198.129941,-8.307743886,10.67680701
58.82843613,-25.78601296,8.669085913,-196.5392856,-8.425203112,10.66206177
57.64075879,-25.43033323,8.691121574,-194.9508427,-8.543324454,10.6489303
56.44189086,-25.0860063,8.71458913,-193.3643946,-8.662180234,10.63724925
55.2316702,-24.75336312,8.740184551,-191.7797413,-8.781805016,10.62686764
54.00990954,-24.43263695,8.768523926,-190.1966955,-8.902196056,10.61768231
52.77640379,-24.12396529,8.800096567,-188.6150748,-9.023313723,10.60965002
51.53093482,-23.82740089,8.835271854,-187.0346953,-9.145084959,10.60275117
50.27328338,-23.54291438,8.874261695,-185.4553741,-9.267411824,10.59692893
49.00324819,-23.27038751,8.917129675,-183.8769379,-9.390182602,10.59207664
47.72065757,-23.00961093,8.96383902,-182.299227,-9.513283012,10.58810807
46.42538295,-22.76028171,9.014174679,-180.7220928,-9.636605356,10.58497651
45.11735847,-22.52200446,9.067731744,-179.1453955,-9.760052162,10.58262906
43.79659113,-22.29430524,9.123993973,-177.5690041,-9.883535539,10.58102689
42.46316656,-22.07665108,9.182307971,-175.9927865,-10.00697946,10.580251
41.11726757,-21.86846347,9.241805078,-174.4165867,-10.13032369,10.58057013
39.75919579,-21.66912222,9.301505496,-172.8402061,-10.25352324,10.58232066
38.38937859,-21.47797661,9.360396907,-171.2634065,-10.37654391,10.58571181
37.00836375,-21.29437043,9.417476045,-169.6859284,-10.49935765,10.59083638
35.61681074,-21.11765586,9.471814178,-168.1074944,-10.62194002,10.59784522
34.21547822,-20.94719463,9.522609879,-166.5277954,-10.74427172,10.60702025
32.80520406,-20.78236553,9.569215607,-164.9464773,-10.86634313,10.61869867
31.38688057,-20.62257861,9.611154596,-163.3631396,-10.98815347,10.63317913
29.96142881,-20.46728682,9.648127415,-161.7773449,-11.10970457,10.65065937
28.52977562,-20.31599004,9.679995252,-160.188634,-11.23099976,10.6712327
27.09283254,-20.16823981,9.70676878,-158.5965402,-11.35204643,10.69491755
25.65148051,-20.02364462,9.728533936,-157.0005997,-11.47285785,10.72166896
24.20656474,-19.88186971,9.745403325,-155.4003647,-11.59345802,10.75134185
22.75889383,-19.74263299,9.757514108,-153.7954208,-11.71388467,10.78366959
21.30923656,-19.6056967,9.765066274,-152.1854018,-11.83418486,10.81830508
19.85831326,-19.47086072,9.768348645,-150.5699986,-11.95441054,10.85484477
18.40678671,-19.3379592,9.767702119,-148.9489667,-12.07461807,10.89284878
16.95525596,-19.20685708,9.763517786,-147.3221288,-12.19486581,10.93186871
15.50424951,-19.07744782,9.75624071,-145.6893754,-12.31521279,10.97145436
14.05422146,-18.94965245,9.746321472,-144.050667,-12.4357241,11.01114084
12.6055526,-18.82341893,9.734198297,-142.4060354,-12.55647176,11.05045936
11.15855441,-18.6987174,9.720283484,-140.7555842,-12.67752675,11.08893107
9.713473025,-18.57552657,9.704998451,-139.0994895,-12.79895162,11.12605259
8.270488453,-18.45381986,9.688804854,-137.4380033,-12.92079751,11.16129545
6.829713799,-18.33355848,9.672152164,-135.7714561,-13.04310356,11.19412656
5.391197403,-18.21468588,9.65548645,-134.1002568,-13.16589639,11.22400537
3.954919015,-18.09712384,9.639317744,-132.4248939,-13.28918572,11.25039024
2.520778657,-17.9807776,9.624228577,-130.7459304,-13.41295692,11.2727773
1.088588797,-17.86554247,9.61081422,-129.0639978,-13.53716912,11.29070757
-0.341922899,-17.75130105,9.599625341,-127.3797889,-13.6617581,11.30377675
-1.771104995,-17.63792143,9.591150595,-125.6940497,-13.78664046,11.31163969
-3.199371596,-17.52526226,9.585787483,-124.0075704,-13.91171714,11.31402069
-4.627185116,-17.4131752,9.583789809,-122.3211737,-14.03687748,11.31073943
-6.055033877,-17.30150545,9.585258206,-120.6356986,-14.16200683,11.30174635
-7.483413622,-17.19009588,9.590193966,-118.951982,-14.2869951,11.28713102
-8.912817789,-17.07879766,9.598546754,-117.2708391,-14.41174484,11.26711829
-10.34372953,-16.9674823,9.610184217,-115.5930446,-14.53617844,11.24205948
-11.7766106,-16.85604649,9.624896372,-113.9193165,-14.66024364,11.21241463
-13.21189097,-16.74440888,9.64242,-112.2503014,-14.78391861,11.17873335
-14.64995978,-16.6325052,9.662436944,-110.5865656,-14.90721577,11.14160536
-16.09115945,-16.52028746,9.684609648,-108.9285915,-15.03018153,11.10162772
-17.53578249,-16.40772224,9.708579621,-107.2767774,-15.15289184,11.05938735
-18.98406529,-16.29478249,9.733945081,-105.6314386,-15.27544642,11.01544882
-20.43618361,-16.18144289,9.760301286,-103.9928097,-15.39796226,10.97036028
-21.89225441,-16.0676825,9.787264839,-102.3610462,-15.52056413,10.92464315
-23.35233782,-15.95348296,9.814459283,-100.7362286,-15.64337245,10.87876919
-24.81643832,-15.83882415,9.841527946,-99.11836849,-15.76649074,10.83314714
-26.28450587,-15.72368516,9.868108175,-97.50741523,-15.88999482,10.78813468
-27.75643246,-15.60804556,9.893793834,-95.90326399,-16.01392505,10.74401708
-29.2320475,-15.49188437,9.918163972,-94.30576651,-16.13828093,10.70099193
-30.71111597,-15.37518403,9.940780096,-92.71474406,-16.26301975,10.65916627
-32.19333653,-15.25793864,9.961177512,-91.13000288,-16.3880629,10.61854283
-33.6783391,-15.14015352,9.978882903,-89.55134867,-16.51330487,10.57905727
-35.16568328,-15.0218408,9.993422809,-87.97859621,-16.63861685,10.54059462
-36.65485893,-14.90302307,10.00432472,-86.41157922,-16.76384954,10.50296426
-38.14528945,-14.7837385,10.01114469,-84.85016009,-16.88884149,10.46594332
-39.63634014,-14.66404169,10.01351902,-83.29422719,-17.0134199,10.42938377
-41.12732875,-14.54400433,10.01114132,-81.7436824,-17.13739212,10.39320874
-42.61753628,-14.42371802,10.00378414,-80.19843482,-17.26054547,10.35735309
-44.10622303,-14.30329475,9.991351425,-78.65840094,-17.38265705,10.32176268
-45.59264971,-14.18286196,9.973905622,-77.12350441,-17.50351013,10.2864155
-47.07610168,-14.06255553,9.951688674,-75.59367347,-17.62291155,10.25133542
-48.55591689,-13.94251289,9.925149268,-74.0688373,-17.74070351,10.21657781
-50.03151774,-13.82286652,9.894968295,-72.54892398,-17.85677528,10.1822174
-51.50244497,-13.7037388,9.862055092,-71.03385834,-17.97107463,10.14836076
-52.96838931,-13.58523823,9.827520049,-69.52355723,-18.08361208,10.11515147
-54.4292139,-13.46745705,9.792574763,-68.01792466,-18.19445889,10.08274976
-55.88496205,-13.35047188,9.758432304,-66.51684997,-18.30374321,10.05130872
-57.33585323,-13.23434595,9.726245684,-65.02021041,-18.41164257,10.02093555
-58.78227233,-13.11912971,9.697084335,-63.52787428,-18.51837149,9.991712414
-60.22475495,-13.0048597,9.671908971,-62.03969542,-18.62417117,9.96379702
-61.66396642,-12.89155735,9.651514835,-60.55550054,-18.72930138,9.937423827
-63.10068101,-12.77922685,9.636591237,-59.07508332,-18.83402443,9.912800587
-64.53576919,-12.66785211,9.627772539,-57.59820921,-18.938583,9.890054846
-65.9701751,-12.55739621,9.625449959,-56.12462515,-19.04318486,9.869233386
-67.40486545,-12.44780418,9.629573893,-54.65407023,-19.14799812,9.850312884
-68.8407703,-12.33900698,9.639741206,-53.18628382,-19.2531532,9.833234936
-70.27874326,-12.23092268,9.655370059,-51.72101061,-19.3587486,9.817921704
-71.71954184,-12.12345713,9.675795727,-50.25800432,-19.46485719,9.804277855
-73.16382441,-12.01650659,9.700388666,-48.79703122,-19.57153048,9.792187271
-74.61215615,-11.90996101,9.728555318,-47.33787578,-19.67880428,9.781490531
-76.06500983,-11.80371137,9.759662077,-45.8803452,-19.7867046,9.772024747
-77.52276315,-11.69765963,9.793056701,-44.42426916,-19.89525062,9.76363945
-78.98569996,-11.59172409,9.828110875,-42.96949847,-20.00445751,9.756196006
-80.45401646,-11.48583776,9.864256184,-41.51590258,-20.11433518,9.749575661
-81.92783219,-11.37994378,9.901021285,-40.06336695,-20.22488373,9.743663811
-83.40720359,-11.27399249,9.93802428,-38.61179281,-20.33609432,9.738344037
-84.89213619,-11.16793834,9.974961522,-37.16109618,-20.44795126,9.733520873
-86.3825964,-11.06173428,10.01161926,-35.71120161,-20.56042761,9.729151543
-87.87852201,-10.95533167,10.0478359,-34.26203394,-20.67348319,9.72524269
-89.37983329,-10.84868706,10.08353061,-32.81351302,-20.78706733,9.721826614
-90.88644631,-10.74176148,10.11871729,-31.36555499,-20.90111937,9.71889537
-92.39828137,-10.63451094,10.15344644,-29.91808096,-21.01557019,9.716367869
-93.91526668,-10.52687656,10.187802,-28.47102645,-21.13034536,9.714119506
-95.43734253,-10.4187823,10.22189752,-27.02434441,-21.24536725,9.712034312
-96.96446468,-10.31013937,10.25585292,-25.5780014,-21.36055729,9.710044043
-98.49660315,-10.20084976,10.28975834,-24.13197229,-21.47583945,9.708111281
-100.0337387,-10.09080948,10.32368101,-22.6862402,-21.59114247,9.706174912
-101.5758607,-9.979911569,10.35767848,-21.24080206,-21.70640078,9.704125674
-103.122967,-9.868049446,10.39180543,-19.79567383,-21.82155483,9.701835662
-104.6750631,-9.755122065,10.42610404,-18.35089294,-21.9365492,9.699158899
-106.232159,-9.641038814,10.46057236,-16.9065198,-22.05133451,9.695950736
-107.7942615,-9.525723359,10.49514476,-15.46263764,-22.16587352,9.692081287
-109.3613653,-9.409119279,10.52968379,-14.01935521,-22.28014527,9.68738043
-110.9334441,-9.291197594,10.56399554,-12.57681454,-22.39415189,9.681630182
-112.5104453,-9.171958794,10.59785727,-11.13519628,-22.50792815,9.674611259
-114.0922822,-9.051427432,10.63098394,-9.694717908,-22.62154461,9.666139146
-115.6788156,-8.929648644,10.66291815,-8.255626603,-22.73510126,9.656076309
-117.26983,-8.806689129,10.69305428,-6.818190936,-22.84871416,9.644318331
-118.8650224,-8.68263621,10.72078817,-5.382694268,-22.96250303,9.630785969
-120.4640051,-8.557596772,10.74555474,-3.94942773,-23.07658086,9.615444907
-122.0663079,-8.431696283,10.76677903,-2.518680112,-23.19104182,9.598322599
-123.6713772,-8.30507451,10.78389585,-1.090726035,-23.30594758,9.579508481
-125.2785805,-8.177881463,10.79639652,0.334184119,-23.42131892,9.559140147
-126.8872159,-8.050274291,10.80385144,1.7558305,-23.53713211,9.537378995
-128.4965262,-7.922414543,10.80594922,3.174028985,-23.65331904,9.514427853
-130.1057203,-7.794463774,10.80254382,4.588636799,-23.76977545,9.49053817
-131.7139974,-7.666575573,10.79367686,5.999555588,-23.88636999,9.465975737
-133.3205754,-7.538888798,10.77958493,7.406733315,-24.00295256,9.441036019
-134.9247205,-7.411529562,10.76070405,8.810165439,-24.1193688,9.416035119
-136.5257749,-7.28461544,10.73762592,10.20989127,-24.23547379,9.391257093
-138.1231773,-7.158255916,10.71105503,11.60598762,-24.35114026,9.36695558
-139.7164785,-7.03255581,10.68178554,12.99856429,-24.46626972,9.343382447
-141.3053502,-6.907615502,10.65063774,14.38776055,-24.58080679,9.320779391
-142.8895788,-6.783522308,10.61833569,15.77374041,-24.69475319,9.299369526
-144.4690435,-6.660342121,10.58543703,17.15668682,-24.80817976,9.279347104
-146.0436937,-6.538111293,10.55238138,18.53679428,-24.92123651,9.26085923
-147.6135309,-6.416833877,10.51949309,19.91426008,-25.03416539,9.244015325
-149.1785946,-6.296487455,10.48701503,21.28927587,-25.14731256,9.228885619
-150.7389561,-6.177024361,10.45518066,22.66201783,-25.26113578,9.215477504
-152.2947164,-6.058373974,10.42420188,24.03263539,-25.37620653,9.203738486
-153.8460046,-5.940449695,10.39427628,25.40123963,-25.49320832,9.193550338
-155.3929772,-5.823155658,10.36558954,26.76789131,-25.61293235,9.184739503
-156.9358207,-5.706393959,10.33835526,28.13259286,-25.73626699,9.177118972
-158.4747568,-5.590069021,10.31282417,29.49528573,-25.86417983,9.170512033
-160.0100466,-5.474091727,10.28925174,30.85584907,-25.99770153,9.164757693
-161.5419925,-5.358384857,10.26790429,32.21409713,-26.13791223,9.159705041
-163.0709376,-5.242889244,10.24901368,33.56977558,-26.2859264,9.155203714
-164.5972575,-5.127570164,10.23272892,34.92255693,-26.44287653,9.15109737
-166.1213495,-5.012419116,10.21912587,36.27203774,-26.60988604,9.147210176
-167.6436222,-4.897449707,10.20822655,37.61773731,-26.78803603,9.143325644
-169.1644865,-4.782690635,10.2000056,38.95909831,-26.97834551,9.139245113
-170.6843482,-4.668178067,10.19440506,40.2954974,-27.18176321,9.134878421
-172.2036037,-4.553946862,10.19135618,41.62626579,-27.39915933,9.13025926
-173.7226381,-4.440020038,10.19080469,42.95070835,-27.63130808,9.125435906
-175.2418243,-4.326396217,10.19269517,44.26811341,-27.87886001,9.120357923
-176.7615117,-4.213038022,10.19685106,45.57775877,-28.1423283,9.114950631
-178.2819941,-4.09986743,10.20279797,46.87892712,-28.42209198,9.109227602
-179.8034769,-3.986763479,10.20993748,48.17093643,-28.71839716,9.10333973
-181.3260862,-3.873563927,10.21790217,49.45317442,-29.03135834,9.0975568
-182.849901,-3.760079319,10.22650821,50.72512582,-29.36096226,9.092192216
-184.3749588,-3.646114996,10.23540116,51.98638963,-29.7070674,9.087510146
-185.9012229,-3.531494262,10.24392294,53.23668327,-30.0693967,9.083592616
-187.4285554,-3.416078692,10.25131391,54.47583386,-30.44752913,9.080290017
-188.9567111,-3.299783692,10.25679712,55.703758,-30.84090145,9.077216915
-190.4853313,-3.182586016,10.25951208,56.92042935,-31.24882257,9.073752925
-192.0139286,-3.064522861,10.2584797,58.12584272,-31.67049319,9.069106761
-193.5418737,-2.945691199,10.25265654,59.31998153,-32.1050265,9.062370953
-195.0683915,-2.826245525,10.24102223,60.50279115,-32.55146491,9.052559058
-196.5925638,-2.706389591,10.22258147,61.67415977,-33.00878745,9.038608788
-198.1133292,-2.586368894,10.19632655,62.83390671,-33.47591066,9.019423701
-199.6294834,-2.466463608,10.16128838,63.98178228,-33.95168811,8.993960853
-201.139693,-2.346976568,10.11666943,65.117473,-34.43490685,8.961173236
-202.642523,-2.22821897,10.06189889,66.24059827,-34.92428555,8.919988645
-204.1364728,-2.110500938,9.99668025,67.35069943,-35.41848674,8.86940286
-205.620021,-1.994121685,9.921065769,68.44723092,-35.91613974,8.808551665
-207.091674,-1.879352145,9.835436809,69.52956599,-36.41585913,8.736767804
-208.5500096,-1.766420654,9.740464098,70.59702335,-36.91625414,8.653654411
-209.9937199,-1.655505114,9.637106304,71.64891001,-37.4159365,8.559160236
-211.421655,-1.546724806,9.526636367,72.68457199,-37.9135362,8.453669735
-212.8328744,-1.440134181,9.410705076,73.70345121,-38.40772975,8.338119585
-214.2267059,-1.335722248,9.29136091,74.70514901,-38.89727814,8.214068874
-215.6028043,-1.233414237,9.171026279,75.68949479,-39.38107059,8.083752186
